orgname	name	star_count	forks	issues	contributors	size
nasa	DAVEtools	2	1	0	1	66265
nasa	World-Wind-Java	178	32	5	0	88323
nasa	NASA-Space-Weather-Media-Viewer	29	6	0	0	11726
nasa	CertWare	12	7	12	2	637325
nasa	mct	461	132	111	13	11026
nasa	osal	28	15	3	1	3473
nasa	cfe	6	0	0	0	48
nasa	digital-strategy	15	8	0	2	436
nasa	VADER	8	8	3	3	292
nasa	coeci-cms-mpsp	6	25	52	3	182441
nasa	echo	0	0	0	0	56
nasa	NASA-APIs	13	4	8	1	96
nasa	code.nasa.gov	10	8	3	1	378
nasa	data.nasa.gov	13	7	1	1	488
nasa	39A	7	6	1	1	7724
nasa	NTL-Disruption-Tolerant-Networking	2	3	0	1	104
nasa	NTL-ISS-Food-Intake-Tracker	8	6	0	3	327015
nasa	CoECI-USAID-Atrocity-Prevention-Model	5	4	0	3	172
nasa	NTL-Electrocardiogram	2	5	0	2	3375
nasa	CoECI-CMS-Open-Payment	1	1	0	1	112
nasa	CoECI-CMS-Healthcare-Fraud-Prevention	5	5	0	2	39028
nasa	T-MATS	16	10	4	3	7469
nasa	NTL-Collective-Minds-and-Machines-Exploration	9	8	0	2	320220
nasa	NTL-Crater-Detection-Challenge	2	4	0	1	112
nasa	NTL-ISS-Robonaut-2-Vision-Algorithm-Challenge	7	7	0	2	37384
nasa	autodoc	18	13	0	1	5500
nasa	cash	4	6	1	1	1232
nasa	SCRD	1	4	24	1	607268
nasa	WellClear	1	4	0	1	220
nasa	Kodiak	15	7	0	3	12697
nasa	eefs	4	1	1	1	284
nasa	OpenSPIFe	17	10	0	2	140594
nasa	NTL-Solution-Mechanism-Guide	4	4	0	3	67736
nasa	TTECTrA	3	4	0	2	161
nasa	NASA-3D-Resources	23	3	0	1	682328
nasa	Formation-Flying	4	2	0	1	0
nasa	NTL-Planetary-Data-System-API	5	1	0	1	94460
nasa	NTL-Lunar-Mapping-and-Modeling-Portal	3	2	0	4	993
nasa	NTL-Asteroid-Tracker	5	1	0	1	12662
nasa	Open-Source-Catalog	4	7	2	3	402
nasa	NTL-Asteroid-Data-Hunter	0	0	0	2	2384
nasa	europa	8	2	80	7	42878
nasa	XPlaneConnect	7	4	8	4	11229
nasa	pvslib	1	1	0	1	14281
nasa	libSPRITE	0	0	0	2	136
nasa	CrisisMappingToolkit	9	1	0	2	404
