orgname	name	star_count	forks	issues	contributors	size
nationalparkservice	npmap	20	4	34	1	2668
nationalparkservice	npmap-builder	18	3	68	3	23498
nationalparkservice	data	23	11	0	7	993109
nationalparkservice	npmap.js	64	44	82	8	32377
nationalparkservice	arc2osm	4	0	0	1	668
nationalparkservice	node-tasks	5	0	0	2	10368
nationalparkservice	places-api	11	1	5	2	1669
nationalparkservice	park-tiles	2	0	28	2	63956
nationalparkservice	live	0	0	0	1	140
nationalparkservice	places-update	0	0	0	0	136
nationalparkservice	responsive-redesign	0	0	0	2	5296
nationalparkservice	npmap-species	0	1	1	4	850971
nationalparkservice	asprs-workshop	0	0	1	3	368
nationalparkservice	cron-tasks	0	0	3	1	372
nationalparkservice	places-website	0	0	0	2	164
