orgname	name	star_count	forks	issues	contributors	size
ncip	ncip.github.com	2	4	11	5	2170
ncip	c3pr	0	0	0	7	1785956
ncip	c3pr-docs	0	0	0	7	1992004
ncip	psc	2	1	0	6	239595
ncip	psc-docs	0	0	0	3	627560
ncip	cagwas	0	0	0	3	140936
ncip	cab2b	0	1	0	2	464241
ncip	caintegrator	1	1	0	3	4334000
ncip	caarray	1	0	0	6	4875296
ncip	caarray-docs	0	0	0	7	1418836
ncip	caintegrator-docs	0	0	0	4	1943560
ncip	caintegrator-data	0	0	0	5	1269568
ncip	calims	0	0	0	4	51688
ncip	lexevs-service	4	2	0	8	4022
ncip	caimage	0	0	0	3	225012
ncip	caaers	2	5	0	22	430753
ncip	caaers-docs	1	1	0	13	5636468
ncip	lexevs	3	1	0	7	238152
ncip	caadapter	1	6	0	5	428809
ncip	geneconnect	0	0	0	2	261728
ncip	bioconductor	0	0	0	2	273020
ncip	dwd	0	0	0	2	28400
ncip	cagrid-core	0	1	0	3	1319260
ncip	cagrid-portal	0	0	0	3	3078228
ncip	cagrid-workflow	0	0	0	3	14080
ncip	cagrid-general	0	2	0	3	209464
ncip	cagrid-docs	2	2	0	4	2433694
ncip	cagrid-grid-incubation	0	1	0	3	644673
ncip	taverna-grid	0	1	0	2	53640
ncip	iso21090	1	1	0	7	22028
ncip	xmihandler	1	1	0	3	2657
ncip	common-logging-module	1	1	0	4	275615
ncip	cagrid	0	0	0	3	4684968
ncip	labviewer	0	0	1	5	798912
ncip	cagrid-iphone-app	0	0	0	2	19904
ncip	prot-express	0	0	0	2	184016
ncip	labviewer-docs	0	0	0	4	187876
ncip	common-security-module	2	6	0	5	3062046
ncip	cacore-sdk	1	1	0	3	2133796
ncip	common-security-module-docs	0	1	0	3	180788
ncip	cacore-sdk-docs	1	0	0	2	198144
ncip	cacis	0	2	0	5	57180
ncip	cacis-docs	0	0	0	2	51572
ncip	nci-term-browser	0	5	0	5	167578
ncip	nci-metathesaurus-browser	0	1	0	3	121372
ncip	nci-mapping-tool	1	1	0	1	133624
ncip	nci-term-suggestion	0	3	0	3	29644
ncip	nci-report-writer	0	2	0	4	152137
ncip	nci-value-set-editor	0	1	0	1	67928
ncip	caelmir	0	0	0	2	531212
ncip	cacore-sdk-pre411	1	0	0	3	157148
ncip	pathway-interaction-database	1	1	0	3	509
ncip	annotation-and-image-markup	6	11	0	5	554301
ncip	invivo-imaging-middleware	1	2	0	5	1086872
ncip	national-biomedical-image-archive	1	8	1	5	5926464
ncip	catrip	0	0	0	2	765836
ncip	caobr	1	0	0	2	11684
ncip	python-api	0	0	0	2	208
ncip	cabio	0	0	0	4	116556
ncip	camod-docs	0	1	0	1	580920
ncip	cadsr-freestyle-search	0	0	0	1	31948
ncip	cadsr-grid-dataservice	0	0	0	2	131636
ncip	cadsr-bulk-loader	0	1	0	2	34176
ncip	cadsr-uml-model-browser	0	1	0	2	66192
ncip	cagrid2	0	2	0	6	17297
ncip	clinical-connector	0	0	0	3	738536
ncip	cagrid2-wsrf	0	2	0	4	2558
ncip	camod	1	1	0	3	754488
ncip	ihub	0	0	0	5	589528
ncip	qfive	0	0	0	1	54248
ncip	visda	0	0	0	1	125044
ncip	quality-indicator-portal	0	0	0	2	8792
ncip	digital-model-repository	0	0	0	1	60612
ncip	gsid	0	1	0	2	29739
ncip	catissue-migration-tool	1	1	0	2	37685
ncip	catissue-CAS	0	1	0	2	212510
ncip	catissue-cacore-sdk	0	0	0	2	36272
ncip	lexevs-grid	0	1	0	3	65056
ncip	lexevs-remote	0	2	1	7	152561
ncip	catissue-idp-authentication-manager	0	1	0	2	27304
ncip	keyword-search	0	0	0	1	6908
ncip	commons-module	0	0	0	1	48940
ncip	metadata-based-query	0	1	0	2	18927
ncip	catissue-participant-manager	0	0	0	2	315016
ncip	tmt-catissue	0	1	0	2	3672
ncip	wustl-common-package	0	1	0	1	438977
ncip	catissue-utilities	0	0	0	2	31344
ncip	catissue-security-manager	0	1	0	1	307008
ncip	catissue-advanced-query	0	1	0	5	249279
ncip	catissue-simple-query	0	0	0	2	310844
ncip	URI_Resolver	0	3	0	3	656
ncip	edct-analytics	0	0	0	3	27572
ncip	edct-formbuilder	1	1	0	3	13774
ncip	edct-cadsr-api-server	0	0	0	2	20352
ncip	catissue-dao	0	0	0	1	326548
ncip	wustl-common-utilities	0	0	0	1	326912
ncip	cananolab	1	1	0	8	770072
ncip	i-spy	0	0	0	2	51564
ncip	cma	0	0	0	2	76832
ncip	eagle	0	0	0	3	25592
ncip	edct-collector	1	0	0	3	66028
ncip	edct-common	0	1	0	3	4084
ncip	ctms-commons	0	0	0	5	216308
ncip	webgenome	0	1	0	3	100765
ncip	webgenome-integration	0	0	0	3	10184
ncip	stats-analysis-server	0	1	0	2	16004
ncip	stats-application-commons	0	1	0	3	184316
ncip	stats-analysis-commons	0	1	0	2	2644
ncip	stats-analysis	0	1	0	2	252972
ncip	common-biorepository-model	2	0	0	4	128852
ncip	cadsr-password-change-station	0	1	0	2	35284
ncip	cadsr-cde-browser	0	1	0	4	431232
ncip	cadsr-cgmdr	0	0	0	2	165148
ncip	cadsr-cgmdr-nci-uk	0	0	0	1	123880
ncip	cadsr-formbuilder	0	1	0	6	175423
ncip	cadsr-objectcart	0	1	0	4	146366
ncip	cadsr-semantic-tools	0	2	0	4	144193
ncip	cgr-bambino	0	1	0	1	1625
ncip	cadsr-admin-tool	0	1	0	2	71360
ncip	catissue-print-service	0	1	0	2	12736
ncip	catissue-core	2	5	0	10	1129217
ncip	catissue-docs	0	0	0	2	161092
ncip	catissue-test	0	0	0	2	38400
ncip	catissue-tools	0	1	0	2	94159
