orgname	name	star_count	forks	issues	contributors	size
ngageoint	geoq	174	38	92	14	37083
ngageoint	geoq-chef-installer	22	5	1	3	329
ngageoint	geoevents	21	6	0	2	14209
ngageoint	geoevents-chef-installer	2	3	0	2	196
ngageoint	rfi-generator	5	2	3	2	22386
ngageoint	rfi-generator-chef-installer	0	2	0	2	168
ngageoint	geowave	45	9	43	8	260168
ngageoint	anti-piracy-iOS-app	7	7	0	4	31095
ngageoint	anti-piracy-android-app	9	6	1	3	5761
ngageoint	disconnected-content-explorer-iOS	2	6	2	3	1006
ngageoint	disconnected-content-explorer-android	3	1	7	2	1890
ngageoint	gamification-server	109	15	10	4	4992
ngageoint	mrgeo	49	5	8	3	363295
