orgname	name	star_count	forks	issues	contributors	size
nla	isbncheck	3	1	0	3	121
nla	pavo	3	0	4	1	112
nla	amad	0	0	0	3	36496
nla	yaz	2	0	0	6	8032
nla	simpleserver	0	0	0	1	540
nla	rpms	0	0	0	1	135
nla	yaz4j	0	0	0	3	4136
nla	Net-Z3950-ZOOM	0	0	0	0	180
nla	doss	0	0	16	6	2508
nla	registrata	0	0	0	1	256
nla	dlir	0	0	0	1	129
nla	tandemtime	0	0	0	1	112
nla	shedspace	0	0	0	2	48
nla	nla-music-android	0	0	0	1	5284
nla	banjo	4	0	70	13	67094
nla	amberdb	0	0	10	10	7688
nla	dcmdb	0	0	0	2	756
nla	jelly-solr	0	0	0	10	792
nla	doss-nfsd	0	0	0	1	232
nla	solrbackup	1	1	0	1	184
nla	nlaharvester	0	0	0	1	1196
nla	burp	0	0	0	1	136
nla	ambercli	0	0	0	2	176
nla	tinycdxserver	0	0	0	1	144
