orgname	name	star_count	forks	issues	contributors	size
nrel	api-umbrella-web	7	4	0	4	7532
nrel	api-umbrella-router	4	2	0	3	3484
nrel	capistrano_nrel_ext	3	1	0	2	816
nrel	api-umbrella-gatekeeper	9	3	0	4	3169
nrel	api-umbrella	210	29	49	4	2494
nrel	vagrant-boxes	119	20	3	2	366
nrel	BACnet	6	3	0	6	46468
nrel	bioluc	2	1	1	7	236060
nrel	Radiance	8	7	1	0	14886
nrel	HARP_Opt	3	0	0	3	56205
nrel	OpenStudio	67	58	626	20	245386
nrel	DAKOTA_plugin	2	2	0	3	20281
nrel	OpenStudio-resources	1	0	2	9	24277
nrel	bcl-gem	0	0	1	4	1453
nrel	EnergyPlusRelease	19	13	0	2	5396
nrel	EnergyPlus	23	15	392	18	299501
nrel	latex_editing	4	3	2	1	33121
nrel	SOWFA	8	9	1	1	4387
nrel	BACnet-state	3	2	0	3	369
nrel	OpenStudio-analysis-gem	3	4	1	2	3349
nrel	OpenStudio-aws-gem	2	2	2	1	2755
nrel	openstudio-standards	1	0	1	4	18382
nrel	myRepo	0	0	0	0	0
nrel	OpenStudio-analysis-spreadsheet	6	3	3	9	60269
nrel	omnibus-api-umbrella	0	1	0	2	406
nrel	api-umbrella-config	0	1	0	2	265
nrel	EnergyPlusBuildSupport	2	1	0	9	260066
nrel	OpenStudio-Recommendation-Engine	2	1	0	2	291
nrel	OpenStudio-workflow-gem	0	2	1	3	2125
nrel	api-umbrella-static-site	1	2	0	1	162
nrel	hescore-hpxml	2	0	7	1	411
nrel	repra	0	0	0	1	881
nrel	rplexos	0	0	4	1	339
nrel	OpenStudio-PTool	1	0	0	2	5431
nrel	OpenStudio-Prototype-Buildings	2	0	0	3	89358
nrel	FESTIV	2	0	1	0	0
nrel	developer.nrel.gov	1	0	13	1	88
