orgname	name
nysenate	Newsclips
nysenate	NYSenateMobileApp
nysenate	Bluebird-CRM
nysenate	OpenLegislation
nysenate	NYSenateForIPad
nysenate	BillBuzz
nysenate	GeoApi
nysenate	OpenDirectory
nysenate	NYSenate.gov-Website-2009
nysenate	Analytics
nysenate	T-Reqs
nysenate	OSCDataXfer
nysenate	OpenLegUI
nysenate	SendgridStatsAccumulator
nysenate	JGeocoder
nysenate	nysenate-api-clients
nysenate	openleg-api-clients
nysenate	InventoryMobileApp
nysenate	InventoryWebApp
nysenate	nysenate-java-utils
nysenate	USPS-AMS-WebService
nysenate	Bluebird-Analytics
nysenate	Employee-Self-Service
nysenate	ESS-Time-Attendance
nysenate	LegEthics-Training-Reports
nysenate	nysenate-terminus-plugin
