orgname	name	star_count	forks	issues	contributors	size
octolabs	openapi-framework	1	0	0	1	80
octolabs	open311-api	2	1	0	1	74
octolabs	yammerfall	12	2	1	1	318
octolabs	open311-validator	3	1	2	1	92
octolabs	circulator-mobile	4	0	0	1	212
octolabs	capitalbikeshare-web	1	0	0	1	132
octolabs	circulator-iphone	1	0	0	1	11428
octolabs	octolabs.github.com	0	0	0	1	88
octolabs	govapps-web	3	0	0	2	1560
octolabs	circulator-planning	1	0	0	1	152
octolabs	foodtruckbattle-sms	2	0	0	1	124
octolabs	wda-mobile	1	0	0	2	1184
