orgname	name	star_count	forks	issues	contributors	size
onroerenderfgoed	Onroerend-Erfgoed-SLD	3	0	5	2	224
onroerenderfgoed	VioeCs	2	0	0	1	96
onroerenderfgoed	CslOnroerendErfgoed	1	0	1	1	96
onroerenderfgoed	VioeConvertor	2	0	0	1	140
onroerenderfgoed	Lukas	6	2	6	1	144
onroerenderfgoed	oeps_gis	0	0	0	1	416
onroerenderfgoed	pyoes	0	0	0	4	4634
onroerenderfgoed	crabpy	4	1	1	4	1979
onroerenderfgoed	la2001	0	2	0	7	17352
onroerenderfgoed	crabpy_pyramid	1	1	1	4	1302
onroerenderfgoed	dcextensions	1	1	0	2	189
onroerenderfgoed	atramhasis	3	3	11	8	2605
onroerenderfgoed	cobertura2clover	0	0	1	2	172
onroerenderfgoed	skosprovider_rdf	1	0	0	5	524
onroerenderfgoed	grass-dhm-import	0	0	0	1	152
onroerenderfgoed	trac-inventaris	0	0	0	1	140
onroerenderfgoed	housenum-be-r-parser	0	0	2	4	356
onroerenderfgoed	storageprovider-client	0	0	0	2	328
onroerenderfgoed	php-housenum-be-r-parser	1	0	0	2	304
onroerenderfgoed	OnroerendErfgoed.github.io	0	0	0	2	516
onroerenderfgoed	sphinx-vlaamsecodex	1	0	2	3	300
onroerenderfgoed	language-tags	0	0	0	2	556
onroerenderfgoed	skosprovider_getty	1	0	0	4	512
onroerenderfgoed	pgSFTI	1	0	0	1	456
onroerenderfgoed	skosprovider_heritagedata	1	1	1	3	368
onroerenderfgoed	crabpy_dojo	0	0	0	1	197
onroerenderfgoed	mvrl	0	0	0	1	196
onroerenderfgoed	erfgoedstijl	0	0	0	2	3120
onroerenderfgoed	skosprovider_atramhasis	0	0	1	1	0
onroerenderfgoed	php-skosprovider	0	0	1	1	0
