orgname	name	star_count	forks	issues	contributors	size
open-data	ckanext-canada	10	7	23	4	15284
open-data	ckanext-wet-boew	5	5	4	3	1173
open-data	ckanext-canada-ckan-1.8	0	0	0	3	10572
open-data	ckan-datatools	0	2	0	3	21070
open-data	ckanext-drupal	1	0	0	1	168
open-data	ckanext-datatable	0	1	0	2	65
open-data	opendata_package	0	0	0	1	120
open-data	open-data.github.io	0	0	0	2	1628
open-data	ckanext-scheming	9	8	11	3	912
open-data	ckanext-recombinant	0	3	0	3	347
open-data	ati-summaries	2	1	0	2	14621
open-data	open-data	0	0	0	1	0
open-data	ckanext-virtual-library	0	2	0	2	612
open-data	ckan-virtual-library-import	0	0	0	1	360284
open-data	ckanext-fluent	0	2	0	2	254
open-data	ckanext-repeating	0	0	0	1	144
open-data	ckanext-fgp	0	1	0	1	179
