orgname	name	star_count	forks	issues	contributors	size
openlexington	openlexington.org	2	0	6	3	1187
openlexington	blogposts	1	0	0	1	112
openlexington	slides	1	0	0	1	400
openlexington	openlex_html5	1	0	0	1	376
openlexington	CityCampLex	1	0	0	1	116
openlexington	geo	2	0	0	29	24436
openlexington	lexapi_site	1	0	0	1	204
openlexington	MeetingNotes	1	0	0	1	556
openlexington	LFUCG_Data_Agreement	1	0	0	1	116
openlexington	open_data_resolution	1	0	0	1	1112
openlexington	ODC-overlay	1	0	0	2	136
openlexington	opencounter_lex	0	0	1	1	180
openlexington	lex_underutil	0	0	0	1	168
openlexington	Lex_to_LIVES	1	2	2	4	2574
openlexington	LIVES_viewer	0	0	6	2	640
openlexington	NDoCH	0	0	0	1	108
openlexington	WhatsMyDistrict	6	8	18	12	13211
openlexington	bus-alert	2	1	1	2	129
openlexington	OpenLexington	3	0	24	2	212
openlexington	chef	0	0	1	1	192
openlexington	look-at-lex	0	0	0	2	1716
openlexington	ckan-cookbook	1	1	3	2	377
openlexington	mongoose	2	2	2	3	237
openlexington	survey2014	0	0	0	1	0
