orgname	name
pensandoodireito	sislegis-site
pensandoodireito	sislegis-prototipo
pensandoodireito	sislegis-app
pensandoodireito	marcocivil-tema
pensandoodireito	sislegis-dotfiles
pensandoodireito	sislegis-ambiente
pensandoodireito	sislegis-ambiente-ubuntu
pensandoodireito	sislegis-ambiente-fedora
pensandoodireito	sisdepen-forms
pensandoodireito	dadospessoais-tema
pensandoodireito	participacao-tema
pensandoodireito	participacao-sitebase
pensandoodireito	pensandoodireito-network-functions
pensandoodireito	pensandoodireito-tema
pensandoodireito	sislegis-ambiente-producao
pensandoodireito	debatepublico-tema
pensandoodireito	blog-tema
pensandoodireito	sislegis-app-frontend
pensandoodireito	sislegis-ambiente-centos
pensandoodireito	sislegis-keycloak-theme
pensandoodireito	pensando-app
pensandoodireito	anticorrupcao-tema
pensandoodireito	sispenas
