orgname	name
plonegovbr	plonegovbr.github.com
plonegovbr	github-collective
plonegovbr	plonegovbr.tema
plonegovbr	beyondskins.plonesymposium.site
plonegovbr	plonesymposium.southamerica
plonegovbr	conference.core
plonegovbr	conference.registration
plonegovbr	conference.profile
plonegovbr	conference.program
plonegovbr	brasil.gov.barra
plonegovbr	beyondskins.ploneconf.site
plonegovbr	brasil.gov.vcge
plonegovbr	brasil.gov.portal
plonegovbr	brasil.gov.temas
plonegovbr	brasil.gov.tiles
plonegovbr	portal.buildout
plonegovbr	portal.vagrant
plonegovbr	bobtemplates.plonegovbr
plonegovbr	brasil.gov.agenda
plonegovbr	portalpadrao.release
plonegovbr	collective.opendata
plonegovbr	brasil.gov.paginadestaque
plonegovbr	paginadestaque.temas
plonegovbr	brasil.gov.facetada
plonegovbr	brasil.gov.portlets
plonegovbr	brasil.gov.vlibrasvideo
