orgname	name	star_count	forks	issues	contributors	size
rOpenGov	rsunlight	26	7	10	3	2483
rOpenGov	sweSCB	8	3	0	4	926
rOpenGov	rustfare	4	0	0	2	632
rOpenGov	ropengov.github.io	9	0	7	0	15800
rOpenGov	rqog	2	0	0	1	2948
rOpenGov	sotkanet	2	0	0	2	384
rOpenGov	statfi	1	1	4	3	416
rOpenGov	helsinki	3	0	6	2	3044
rOpenGov	gisfin	3	1	9	4	9119
rOpenGov	datavaalit	1	0	0	1	376
rOpenGov	rtimes	4	1	1	1	389
rOpenGov	mpg	1	1	2	1	163
rOpenGov	psData	15	3	12	1	1160
rOpenGov	usbroadband	0	0	2	1	132
rOpenGov	RPublica	5	0	1	1	196
rOpenGov	finpar	1	0	1	1	148
rOpenGov	guidelines-docs	2	2	0	6	422
rOpenGov	federalregister	1	0	1	1	208
rOpenGov	enigma	3	0	0	1	480
rOpenGov	eurostat	5	2	2	4	1234
rOpenGov	RWaPo	0	0	1	0	0
rOpenGov	recalls	0	0	0	1	176
rOpenGov	dkstat	3	2	3	2	315
rOpenGov	finSCB	0	0	0	0	232
rOpenGov	pxweb	4	2	19	4	946
rOpenGov	fmi	0	1	1	4	441
rOpenGov	rwfs	0	0	0	3	312
rOpenGov	election	0	0	0	1	100
rOpenGov	fennica	0	0	0	1	136
rOpenGov	estc	0	0	4	2	33032
