orgname	name	star_count	forks	issues	contributors	size
redhawksdr	framework-core	8	10	9	5	4789
redhawksdr	framework-bulkioInterfaces	0	3	1	3	847
redhawksdr	framework-GPP	1	4	0	3	291
redhawksdr	eclipse-mil.jpeojtrs.sca	0	3	0	9	2914
redhawksdr	eclipse-gov.redhawk.core	2	4	0	10	19773
redhawksdr	eclipse-gov.redhawk.codegen	1	3	0	10	2100
redhawksdr	eclipse-products-gov.redhawk.explorer.product	0	2	0	6	435
redhawksdr	eclipse-products-gov.redhawk.ide.product	1	2	0	8	11123
redhawksdr	basic-components	4	5	0	5	1013
redhawksdr	integration-gnuhawk	2	4	0	2	7362
redhawksdr	eclipse-products-gov.redhawk.explorer.rap.product	0	1	0	6	594
redhawksdr	eclipse-gov.redhawk.ide	3	3	2	10	40042
redhawksdr	Documentation	5	4	0	4	12963
redhawksdr	frontendInterfaces	2	2	2	5	467
redhawksdr	USRP_UHD	2	3	0	2	422
redhawksdr	framework-codegen	1	2	0	2	651
redhawksdr	VITA49Libraries	0	1	1	1	1087
redhawksdr	SourceVITA49	0	1	0	1	270
redhawksdr	SinkVITA49	0	1	0	1	277
redhawksdr	agc	0	1	0	5	172
redhawksdr	AmFmPmBasebandDemod	0	1	0	6	181
redhawksdr	BurstDeserializer	0	1	0	4	152
redhawksdr	ArbitraryRateResampler	0	1	0	6	157
redhawksdr	autocorrelate	0	1	0	4	176
redhawksdr	DataReader	0	1	0	4	153
redhawksdr	DataWriter	0	1	0	4	153
redhawksdr	dsp	0	1	0	4	234
redhawksdr	fastfilter	0	1	0	4	186
redhawksdr	fcalc	0	1	0	5	153
redhawksdr	fftlib	0	1	0	3	209
redhawksdr	freqfilter	0	1	0	3	166
redhawksdr	HardLimit	0	1	0	3	195
redhawksdr	medianfilter	0	1	0	3	149
redhawksdr	psd	0	1	0	5	196
redhawksdr	RedhawkDevUtils	0	1	0	2	152
redhawksdr	RTL2832U	1	1	0	1	226
redhawksdr	SigGen	1	1	0	5	203
redhawksdr	sinksocket	0	1	0	4	177
redhawksdr	sourcesocket	0	1	0	4	189
redhawksdr	TuneFilterDecimate	0	1	0	5	229
redhawksdr	unwrap	0	1	0	3	151
redhawksdr	whitenoise	0	1	0	3	168
redhawksdr	DataConverter	0	1	0	2	266
redhawksdr	burstioInterfaces	0	0	0	1	400
redhawksdr	BPSK	0	0	0	3	144
redhawksdr	DifferentialDecoder	0	0	0	3	144
redhawksdr	FilterDecimate	0	0	0	4	168
redhawksdr	FMDemodulator	0	0	0	4	172
redhawksdr	FrequencyDivider	0	0	0	3	132
redhawksdr	Mixer	0	0	0	3	132
redhawksdr	RBDSDecoder	0	0	0	4	168
redhawksdr	rtlNode	0	0	0	2	108
redhawksdr	RBDS_wf	0	0	0	3	132
redhawksdr	admin-console	1	1	0	2	827
redhawksdr	rest-python	1	1	0	3	465
redhawksdr	rtl-demo-app	1	1	0	3	284
redhawksdr	rtl-demo-client	1	0	0	4	484
redhawksdr	RTL_FM_Waveform	1	1	0	2	124
redhawksdr	FrontEndController	1	1	0	2	152
redhawksdr	mvn-parent	0	1	0	3	136
redhawksdr	libRfSimulators	0	0	0	1	304
redhawksdr	FmRdsSimulator	0	0	0	1	148
