orgname	name
senescyt	sniese-ui
senescyt	provisionamiento
senescyt	spikes
senescyt	servicio-usuario
senescyt	servicio-proyectos
senescyt	esqueleto-servicio
senescyt	pruebas-rendimiento
senescyt	sniese-commons
senescyt	servicio-autenticacion
senescyt	servicio-oferta-academica
senescyt	ureport-config
senescyt	servicio-geografico
senescyt	provisioning_centos
senescyt	servicio-archivos
senescyt	servicio-titulos
senescyt	MockRespuesta
senescyt	servicio-firma-digital
senescyt	sniese-commons-test
senescyt	estacionDesarrollo
senescyt	servicio-oferta-academica-2009
senescyt	capacitacion-tecnica-taller-git
senescyt	servicio-personas
senescyt	spike-colas
senescyt	sniese-deploy
senescyt	registro-civil-mock-wdsl
senescyt	servicio-carga-masiva
senescyt	servicio-bsg
senescyt	portal-ciudadano
senescyt	senescyt-e2e
senescyt	sniese-deploy-firma-digital
senescyt	procesador-carga-masiva
senescyt	sniese-ui-commons
senescyt	sniese-bi
senescyt	bootstrap
senescyt	servicio-titulos-nacionales
senescyt	fachada-titulos
senescyt	sniese-soporte-reportes
