orgname	name
slugis	gst-dashboard
slugis	incidents
slugis	ParkhillPreAttack
slugis	OSM-Buildings
slugis	wiki
slugis	slugis.github.io
slugis	sloco-roads
slugis	ParkhillProject2013
slugis	UnitMap
slugis	facility11_3
slugis	SpoonersBullpen
slugis	TCP-demo
slugis	FIMTsvg
slugis	mobile-template
slugis	CAD
slugis	WaterPurveyors
slugis	RadioCoverage
slugis	FireFatalities
slugis	CalMAPPER
slugis	FDOP
slugis	bootleaf-slu
slugis	Spooner
slugis	MHPs-etc
slugis	CanyonCrest
slugis	logos
slugis	psc-tech-2015
slugis	CMGuide
slugis	whatsmypaz
slugis	Facilities
slugis	incidentSpreadsheet
slugis	performanceMeasures
slugis	firehistory
slugis	MDC
slugis	internguide
slugis	dcpp-weather-scraper
slugis	calfireslo
