orgname	name	star_count	forks	issues	contributors	size
srnsw	ae	1	0	3	2	460
srnsw	srnsw.github.com	1	0	0	1	2836
srnsw	authority-register	1	0	0	1	1516
srnsw	api.records.nsw.gov.au	3	0	16	2	928
srnsw	Digital-Archives-resources	1	0	0	0	48
srnsw	xena	1	0	0	1	161520
srnsw	OpenGov	2	2	8	1	64957
srnsw	Preservation-Pathway	2	0	0	2	308
srnsw	metadata	2	1	0	3	511
srnsw	Workflow	2	0	0	1	67948
srnsw	Repository	1	0	0	1	204
srnsw	Workflow-Creator-POC	2	0	0	1	244
srnsw	OpenGov-Migration	0	0	0	1	7076
srnsw	State-Records-Search	2	1	21	2	1444
srnsw	Dashboard	0	1	5	1	1857
srnsw	photo-inschmestigator	0	0	0	1	240
