orgname	name	star_count	forks	issues	contributors	size
usdepartmentoflabor	Ruby_DOLDataSDK	2	2	1	4	386
usdepartmentoflabor	Android_DOLDataSDK	0	1	0	2	288
usdepartmentoflabor	BlackBerry_DOLDataSDK	0	0	0	2	312
usdepartmentoflabor	DOLDataSDK-iOS	7	2	0	1	1529
usdepartmentoflabor	DotNet_DOLDataSDK	1	0	0	1	100
usdepartmentoflabor	PHP_DOLDataSDK	1	0	0	2	184
usdepartmentoflabor	HelpfulRedist	0	1	0	2	3028
usdepartmentoflabor	DOLAPI	0	0	4	2	637
usdepartmentoflabor	StrategyTrackeriPad	1	0	0	1	520
usdepartmentoflabor	JS-Dashboard	3	2	0	2	109
usdepartmentoflabor	OAHA-Heat-Safety-Android-Es	0	0	0	1	4904
usdepartmentoflabor	OSHA-Heat-Safety-Android-En	1	0	0	1	6508
usdepartmentoflabor	OSHA-Heat-Safety-Blackberry	0	0	0	1	5452
usdepartmentoflabor	OSHA-Heat-Safety-iOS	0	1	0	1	1146
usdepartmentoflabor	LaborStats-iOS	1	2	0	1	1004
usdepartmentoflabor	LaborStats-Android	0	0	0	1	376
usdepartmentoflabor	DOL-Timesheet	0	0	0	1	7168
usdepartmentoflabor	Mobile-Accessibility-Test-Script	0	1	0	1	136
usdepartmentoflabor	iOS-Sample-App	1	1	0	1	2330
usdepartmentoflabor	Ruby-Sample-App	0	2	0	4	379
usdepartmentoflabor	PHP-Sample-App	0	0	0	1	228
usdepartmentoflabor	Blackberry-Sample-App	0	0	0	1	3039
usdepartmentoflabor	Android-Sample-App	0	0	0	1	1596
usdepartmentoflabor	OSHA-Heat-Safety	2	0	0	1	2940
usdepartmentoflabor	ColdFusion-Federal-SDK	0	0	0	1	129
usdepartmentoflabor	ColdFusion-Sample-App	0	0	0	1	72
usdepartmentoflabor	API-Status	2	1	0	1	928
usdepartmentoflabor	Swift-Federal-Data-SDK	11	2	0	1	565
usdepartmentoflabor	Swift-Sample-App	1	0	0	1	600
usdepartmentoflabor	Weather	0	0	0	1	447
usdepartmentoflabor	Calculate-Heat-Index-Java	0	1	0	2	155
usdepartmentoflabor	Conversions	0	0	0	1	380
usdepartmentoflabor	APIv2	1	0	0	1	222
usdepartmentoflabor	APIv2-Admin	1	0	0	1	154
usdepartmentoflabor	Developer	0	1	12	1	67289
usdepartmentoflabor	public-data-listing	1	0	0	1	349
usdepartmentoflabor	Public-Data-Listing-Consolidator	1	0	6	1	235
