orgname	name	star_count	forks	issues	contributors	size
usepa	epafiles	5	0	0	1	6024
usepa	My-Right-To-Know--MyRTK-	2	0	0	0	3111
usepa	PHP-SDWIS-SAMPLE-Envirofacts-API	1	0	1	2	144
usepa	XCode-RadNet-Sample-Envirofacts-API	1	0	0	2	208
usepa	ANDROID-Multisystem-Data-Sample-Envirofacts-API	1	0	0	2	204
usepa	.NET-DfE-Data-Sample-Envirofacts-API	0	0	0	2	10012
usepa	lakemorpho	4	0	0	1	1741
usepa	share-no-cookies	0	0	0	1	116
usepa	FRS-getfacilities-samples	2	0	0	1	396
usepa	Water-Distribution-Network-Model	2	5	1	2	300
usepa	R-micromap-package-development	0	4	0	4	2122
usepa	Public_Web_AppBuilder	2	1	0	1	26811
usepa	introR	4	1	0	2	5213
