orgname	name
usgs	Quakeml
usgs	nwis-web-services-snapshot-add-in
usgs	eqmessageutils
usgs	perl-lsi-megasas
usgs	strec
usgs	EDEN-hydrograph-data
usgs	earthquake-event-ws-client
usgs	geomag-baseline-calculator
usgs	asl-sensorloc
usgs	xmax
usgs	libcomcat
usgs	seedscan
usgs	azimuth
usgs	geo-data-portal
usgs	earthquake-faults
usgs	hazdev-webutils
usgs	earthquake-rtgm-calculator
usgs	hazdev-location-view
usgs	hazdev-template
usgs	earthquake-list-widget
usgs	earthquake-eventpages
usgs	pdlmonitor
usgs	earthquake-wwdesign
usgs	earthquake-usdesign
usgs	hazdev-tablist
usgs	hazdev-svgimagemap
usgs	mdgetpython
usgs	neicmap
usgs	neicio
usgs	neicutil
usgs	earthquake-latest-earthquakes
usgs	earthquake-event-ws
usgs	matcomcat
usgs	devcorner
usgs	rcomcat
usgs	nshmp-haz
usgs	hazdev-question-view
usgs	quakeml-parser-js
usgs	earthquake-website
usgs	HeliPlotAPI
usgs	icoast
usgs	hazdev-accordion
usgs	finite-fault
usgs	hazdev-basemap
usgs	nshmp-haz-fortran
usgs	nshmp-haz-ws
usgs	nshmp-haz-catalogs
usgs	earthquake-catalog-ushis
usgs	slab2
usgs	nccv_code_examples
usgs	earthquake-global_vs30
usgs	earthquake-heliplots
usgs	geomag-algorithms
usgs	arcgis-sample
usgs	geomag-website
usgs	asl-dqa-web
usgs	demo
usgs	hazdev-geoserve-ws
usgs	hazdev-arcgismap
usgs	earthquake-cpt
usgs	iplover
usgs	earthquake-eventadmin
usgs	earthquake-hazard-tool
usgs	geomag-plots
usgs	hazdev-cache-invalidator
usgs	CatStat
usgs	Glass2
usgs	edgecwb
usgs	nshmp-model-cous-2014
usgs	nshmp-model-cous-2008
usgs	pensive
usgs	shakemap
usgs	pdl
usgs	hazdev-d3
usgs	NMC-volunteermap
usgs	multi-select
usgs	anss-comcat
usgs	volcano-core
usgs	landcovertrends
usgs	logger2csv
usgs	prism
usgs	hazdev-leaflet
usgs	swarm
usgs	hazdev
usgs	usgs.github.io
usgs	et_utils
usgs	ie2misc
usgs	MapIO
usgs	nshmp-model-ak-2007
usgs	nshmp-model-hi-1998
usgs	winston
usgs	landslides-website
usgs	earthquake-gps
usgs	groundfailure
usgs	ps2ff
usgs	best-practices
usgs	shakecast
usgs	pdl-indexer-sync
usgs	geomag-edge-ws
usgs	landslides-trigrs
usgs	hazdev-gis
usgs	hazdev-project-skeleton
usgs	cookiecutter-python-package
usgs	seedscan-testdata
usgs	strongmotionfetch
usgs	eq-convert-catalog
usgs	hydra-web-display
usgs	hydra-web-service
