orgname	name	star_count	forks	issues	contributors	size
usnationalarchives	fr2	65	9	1	5	16700
usnationalarchives	fr2_blog	9	0	0	2	21744
usnationalarchives	federal_register	32	8	0	5	212
usnationalarchives	my_fr2	3	0	0	3	3736
usnationalarchives	File-Analyzer	37	2	0	2	1935
usnationalarchives	Video-Frame-Analyzer	15	2	0	1	840
usnationalarchives	AVI-MetaEdit	4	3	0	2	24826
usnationalarchives	MediaInfo	3	1	0	1	2488
usnationalarchives	feedback	3	1	1	1	108
usnationalarchives	Twitterbot	0	0	1	1	244
usnationalarchives	Catalog-API	2	0	0	1	2320
