orgname	name	star_count	forks	issues	contributors	size
usstatedept	bids	5	2	41	5	22195
usstatedept	energy	3	4	24	1	522
usstatedept	newsilkroad	3	0	1	0	624
usstatedept	DiplomacyExplorer2	1	1	9	3	134375
usstatedept	leaflet-apis	2	0	5	1	972
usstatedept	USStateDept.github.io	1	1	0	2	188
usstatedept	open-schema-tool	0	0	1	2	2208
usstatedept	geo-template1	0	0	0	1	176
usstatedept	thecurrent	1	1	1	1	6089
usstatedept	rootless	0	0	0	1	176
usstatedept	VisaGuideHN	0	2	1	4	7875
usstatedept	ConsularGuidePL_iOS	0	0	0	1	12705
usstatedept	ConsularGuidePL_AN	0	0	0	0	36430
usstatedept	ConsularGuidePL_CMS	0	0	0	0	7003
usstatedept	BIDS-Mobile	0	0	0	1	0
usstatedept	WHA_Prototype	0	0	0	1	168
usstatedept	FPPWork	0	0	0	2	168
usstatedept	databank	0	1	6	2	308
usstatedept	arches_core	0	0	0	1	104280
usstatedept	state-data	0	0	0	1	152
usstatedept	geoscripts	0	0	0	2	148
usstatedept	passports_test	0	1	0	1	796
usstatedept	diplomacy-impacts	0	0	0	1	58612
usstatedept	cubes_dataviewer	0	0	0	16	756
usstatedept	FPA_Core	0	0	0	26	9060
