orgname	name
vrk-kpa	e-identification-proxy-service
vrk-kpa	e-identification-idp-service
vrk-kpa	e-identification-sp-service
vrk-kpa	e-identification-shared-api
vrk-kpa	e-identification-metadata-service
vrk-kpa	api-catalog
vrk-kpa	kapa-dependencies
vrk-kpa	xroad-public
vrk-kpa	ckanext-fluentall
vrk-kpa	xroad-joint-development
vrk-kpa	xroad-catalog
vrk-kpa	xroad-load-tests
vrk-kpa	ckanext-xroad_integration
vrk-kpa	sema-ui-components
vrk-kpa	sevi-ontology-service-public
vrk-kpa	sevi-config-public
vrk-kpa	sevi-docker-fuseki-public
vrk-kpa	sevi-docker-java-public
vrk-kpa	sevi-docker-compose-public
vrk-kpa	sevi-docker-activemq-public
vrk-kpa	xroad-e2e-client
