orgname	name	star_count	forks	issues	contributors	size
whitehouse	petitions	859	198	45	24	15331
whitehouse	wh-app-android	345	195	2	4	1827
whitehouse	wh-app-ios	537	221	9	6	2445
whitehouse	fortyfour	325	40	16	3	2454
whitehouse	api-standards	842	137	21	12	381
whitehouse	petition	2	3	0	1	96
whitehouse	services_documentation	6	4	0	5	231
whitehouse	shunt	5	4	0	2	321
whitehouse	ndoch-hackathon	15	5	12	1	102
whitehouse	petitions_thermometer	5	5	0	1	95
whitehouse	petitions-php-sdk	4	2	0	2	167
whitehouse	tweetserver	4	2	0	4	1032
whitehouse	twitterapi	1	1	0	2	131
whitehouse	netstorage	2	2	0	3	124
whitehouse	drushsubtree	8	3	5	4	576
whitehouse	buildmanager	7	7	6	4	487
whitehouse	choropleth	2	2	2	5	262
whitehouse	choropleth_dataset	1	2	2	4	212
whitehouse	education-compliance-reports	4	6	0	3	336
whitehouse	write-api-beta-testing	7	1	5	4	346
whitehouse	petitionssignatureform	1	2	0	7	501
whitehouse	heartbleed	6	3	0	5	526
whitehouse	playbook	460	88	32	11	4649
whitehouse	tweetfetch	0	0	1	1	128
whitehouse	usds-website	5	0	14	2	0
