organization,members
government,115
maptime,17
plone,15
collective,10
apinf,9
mozilla,9
github-beta,7
moose-team,7
github,7
epicgames,7
hackfoldr,7
recursecenter,7
nuams,6
rubytaiwan,6
apache,6
perltaiwan,6
nodeschool,6
fellows,5
hacking-thursday,5
mapbox,5
opennewslabs,5
dcpython,4
sushijs,4
wdb,4
hotosm,4
hkcodecamp,4
mainehackerclub,4
kyrug,4
techlahoma,4
opencontrol,4
hicapacity,4
nko2,4
nko4,4
conda-forge,4
deptofdefense,4
collexion,4
ipython,4
norfolkjs,4
globusonline,4
ireapps,4
thrive-refugee,4
openannotation,4
openlab-aux,4
cylc,4
beerjs,4
excellaco,4
pcman-bbs,3
scitools,3
nko,3
scikit-beam,3
techatnyu,3
simplesconsultoria,3
curry-club-aux,3
voxel,3
mdn,3
thoughtworksinc,3
jupyter,3
ropenscilabs,3
streetmix,3
artaround,3
nodejs,3
wikimedia,3
devfort,3
popuprobots,3
dini-ag-kim,3
swcarpentry,3
loc-rdc,3
joomlatools,3
ropensci,3
atom,3
julialang,3
nooku,3
osmlab,3
ghost-network,3
pistondevelopers,3
emergingtechnologyadvisors,3
nodetiles,3
osplanning,3
nko3,3
apiops,3
chewing,3
mapnik,3
mozilla-b2g,3
irail,3
openhatch,3
dcfemtech,3
nashvillesoftwareschool,3
geopython,3
cf-convention,3
colorado-code-for-communities,3
crowducate,3
nasaworldwindresearch,3
btvphp,3
fused-wind,3
electron,3
facebook,3
educloudalliance,3
ofa-alumni,3
python,3
hackdeoverheid,3
jumpstartlab,3
morph-test-scrapers,3
hackshackersafrica,3
w3c,3
fisma-ready,3
turfjs,2
whatwg,2
icalialabs,2
slco-2016,2
mail-in-a-box,2
chadev,2
trailsjs,2
fugacious,2
addok,2
buergerbautstadt,2
votestakes,2
maptimeatx,2
startupwichita,2
f2etw,2
citygram,2
aims-group,2
w3ctag,2
osoc13,2
gocodeboulder,2
osoc15,2
poligraphapp,2
proruby,2
pgrouting,2
geonode,2
urbanairship,2
openvehicletracker,2
rdflib,2
bitcamp,2
tossug,2
modestmaps,2
urbanlab,2
arkitektum,2
camptocamp,2
manufactured-solutions,2
mpas-dev,2
chihacknight,2
maptimemilehigh,2
puppetlabs,2
openpdx,2
firecoders,2
ux-temp,2
girldevelopit,2
cahealthdata,2
nicta,2
leaflet-extras,2
usg-website-templates,2
opentechschool,2
devopsaustralia,2
civomega,2
shotwell-labs,2
udst,2
boxen,2
jekyll,2
dokku,2
hackmanchester,2
bolt,2
opentraildata,2
mindleaps,2
teikei,2
hackoregon,2
nss-cohort-8,2
sensebox,2
beeldengeluid,2
generalassembly-studio,2
epochfail,2
websages,2
hatsnpants,2
pdxhub,2
scalamx,2
boost,2
jsonresume,2
caktus,2
open-mpi,2
datacats,2
efforg,2
nsls-ii-chx,2
ibm,2
puertoricorb,2
owncloud,2
nodejs-tw,2
openmdao,2
astropy,2
itsbspoke,2
nitorcreations,2
synhak,2
southkorea,2
pyugrid,2
vta,2
cltk,2
novapython,2
pur,2
mapzen,2
blencorp,2
asascience-open,2
lockerproject,2
nci-gdc,2
usgs-vizlab,2
efaoz,2
opensourcedesign,2
georchestra,2
projectdeltaio,2
dinkbit,2
madridrb,2
movieclub,2
aogpn,2
codemontagehq,2
osscommunity,2
womany,2
osgeo,2
pdfliberation,2
boxkite,2
moztw,2
spaceuu,2
georust,2
assemble,2
theironyard,2
cloudfoundry-community,2
hack4vdb,2
mozillascience,2
contentmine,2
pixative,2
octokit,2
semanticmediawiki,2
monome-community,2
microsofttce,2
koopjs,2
openlayers,2
acme-oui,2
hubot-scripts,2
cometaworks,2
pythonbrasil,2
jglobus,2
jenkinsci,2
atlrug-rhok,2
thegrokery,2
757rb,2
xsdk-project,2
hackforwesternmass,2
bcdevops,2
amida-tech,2
alan-turing-institute,2
netlight,2
codeforruhrgebiet,2
django,2
appleseednyc,2
wikieducationfoundation,2
asl-usgs,2
opensfs,2
stamen,2
devict,2
xanadu-linux,2
webshootertk,2
daisy,2
coderdojo,2
freeculture,2
creativecommons,2
bower,2
electron-userland,2
giantswarm,2
microsoft,2
socialc0de,2
odi-fsa,2
sudoroom,2
401ode,2
libqueso,2
citizen-cyberscience-centre,2
ohanajs,2
conveyal,2
citizenlabsgr,2
plone-ve,2
catalog-ng,2
conectivo,2
o19s,2
australia,2
askalotcqa,2
desarrollandoamericalatina,2
rubyaz,2
wec-sim,2
lpug,2
mtconnect,2
donut-js,2
gofore,2
infotecmx,2
youthtechprogram,2
lexladiescode,2
52north,2
faithcreates,2
p2pu,2
matplotlib,2
obtiva,2
proyectoarepalinux,2
phxdata,2
azavea,2
charlotte-ruby,2
gentoo,2
indieweb,2
rapidsms,2
transcode-de,2
hackerschoolmty,2
debian-lxqt,2
grinsfem,2
berkeleyexpertsystemtechnologieslab,2
flowgig,2
aimsat-mx,2
proximityviz,2
nyantec,2
creativecommonskorea,2
etison,2
sitcon-tw,2
secoora,2
flisol,2
openjournals,2
bearing,2
vaslibre,2
mozilla-services,2
civica-digital,2
duckduckgo,2
dataportalindia,2
ubuntuve,2
spendingjp,2
cyberwizardinstitute,2
ogcmetoceandwg,2
geoext,2
codeforberlin,2
opora,2
ugrid-conventions,2
axiom-data-science,2
hypermodules,2
jazzband,2
linux-taiwan,2
cirrusmio,2
education,2
uab-acm-hackathon,2
pirate-parties-international,2
tractorfeed,2
advancedenergyeconomy,1
redmountainmakers,1
wdiv-scrapers,1
koodiklinikka,1
ipmitmo,1
golangbr,1
geocat,1
presente,1
bravolt,1
scriptedcurriculum,1
baltimore-puppet-users-group,1
angularjs-de,1
miters,1
geocam,1
advisebrasil,1
brailleapps,1
slideatlas,1
musesproject,1
projecthamster,1
lurc,1
cha-open-gov-champions,1
kkbox,1
cplug,1
sciencetoolbox,1
snudm,1
soft-matter,1
ifgovthenthat,1
osoc14,1
bitcampa16z,1
holmwell,1
veracruz-digital,1
jugcologne,1
techramento,1
publicinnovation,1
open211,1
aipescience,1
phpsgi,1
jsfest,1
uwdb,1
arlingtonruby,1
railsgirlsauckland,1
inbo,1
commonsdev,1
fractalflows,1
acrogenesis-lab,1
huevapi,1
bridgeiris,1
factorial-io,1
us-nearshore-research-community,1
apisuomi,1
kivy,1
propublica,1
telegraphacademy,1
757io,1
10up,1
opencpu,1
chickenrand,1
threespot,1
gamebytes,1
democracyos,1
linkeddatafragments,1
ntuosc,1
australiannationaluniversity,1
blacksintechnologyorg,1
inrhythm,1
biocontainers,1
pyve,1
lmfit,1
openseadragon,1
mashsoftware,1
datasf,1
globallinks,1
opendatapolicingnc,1
deathraygames,1
rbgvictoria,1
devchixuy,1
effalo,1
coursemology,1
opintel,1
sfdc-matrix,1
travis-ci,1
gitlabhq,1
rice-solar-physics,1
hyperaudio-dev,1
etec-de-guaianazes,1
farol52,1
allegro-project,1
mit-history,1
nussoc,1
aperture-team,1
isislab-unisa,1
scopyleft,1
quickleft,1
libantioch,1
oabutton,1
openrouting,1
opensourceorg,1
upreach,1
bundler,1
bluffingsloth,1
mapattack,1
escueladehackers,1
yunohost-apps,1
openrural,1
isalwaysone,1
tfk-code,1
lastminutemtp,1
switchboardpy,1
poesea,1
learningtapestry,1
openmath,1
viant-metabolomics,1
gdi-vlaanderen,1
nodebots,1
geometeor,1
civicindustries,1
hhtyo,1
cenditel,1
revsys,1
tinypresstesting,1
octopress,1
25sprout,1
fellows-in-innovation,1
lr-training,1
rcgsheffield,1
txtnonymous,1
twokings,1
turtles-with-lasers,1
enb,1
es-doc,1
cocotools,1
howtonails,1
paramountventures,1
isac2014-team4,1
vip-edemocracy,1
kinsights,1
hnec-vr,1
openaq,1
squaretalent,1
cucawarriors,1
buildingsync,1
hikkendry,1
pytche,1
proj4js,1
ytoolshed,1
hackingagainstslavery,1
computerbasedhonorsprogram,1
googletrends,1
nodeconf,1
cfabrigadesanfrancisco,1
aegircoop,1
libsms,1
mozmar,1
ccnz,1
boulder-food-rescue,1
piwik,1
mpiwg-tools,1
hacktennessee7,1
epfl-agentbased-2014,1
communityntnu,1
clf,1
btvwag,1
kennethreitz-archive,1
driebit,1
shamblrteam,1
pokemongovet,1
laratoolkit,1
gdgvilnius,1
golangmx,1
opendevicelab,1
thoughtworks,1
agilionapps,1
minifast,1
xrayspectroscopy,1
lsug,1
study-master,1
coneoproject,1
jupyter-incubator,1
lgbteeo,1
tabeethaschool,1
marshmallow-code,1
warelab,1
southfloridarails,1
opensignal,1
envirocar,1
conference-opportunities,1
careproject,1
hamfist,1
nycapitolcamp,1
funguide,1
court,1
ladybug-analysis-tools,1
ethereum-cph,1
cobweb-eu,1
ailabitmo,1
fiji,1
oduacm,1
kiwix,1
phpbrew,1
tigrelug,1
zenirc,1
imperialists,1
saveabunny,1
gondola-naranja,1
gunicorn,1
smithorm,1
datavalues,1
castxml,1
allyarnsarebeautiful,1
kinggemeenten,1
soundcloud,1
power-grid-lib,1
bfl-itp,1
thecognizantfoundry,1
ntusa,1
fga-unb,1
chokepointproject,1
librecat,1
voxpupuli,1
librocket,1
uniformlyrandom,1
eletalk,1
dextro-research,1
tuftsvalt,1
learninggitworkflow,1
sci-visus,1
dev4good,1
ntnusa,1
codeforscience,1
lesbianswhotech,1
unitycapstone,1
swan4kids,1
influencetech,1
comicweb,1
famous-project,1
chaoschemnitz,1
servo,1
nodejsnyc,1
medirectory,1
cravefood,1
codefortokyo,1
netways,1
datafable,1
referme,1
ieee-pes-amps,1
summitesp,1
