country,orgname,repos,watchers_count,forks,issues,contributors,size
Brazil,bacendeinf,0,0,0,0,0,0
Brazil,camaradosdeputadosoficial,4,6,5,0,5,10413
Brazil,cislgov,4,0,0,0,5,1356
Brazil,culturagovbr,30,29,42,101,100,465008
Brazil,dadosgovbr,10,79,38,17,25,17213
Brazil,dataprev,6,9,1,0,6,1624
Brazil,fateczonaleste,0,0,0,0,0,0
Brazil,gabinetedigital,17,22,10,47,38,75254
Brazil,govbr,6,20,10,5,18,109519
Brazil,GovBrasil,1,3,1,0,2,231516
Brazil,ibamacsr,17,56,15,7,37,140904
Brazil,InstitutoBenjaminConstant,1,0,0,0,2,36546
Brazil,interlegis,85,62,52,155,156,90020
Brazil,justicagovbr,2,1,0,0,3,47042
Brazil,labhackercd,32,65,16,60,481,262682
Brazil,lexml,28,8,6,28,63,248727
Brazil,pensandoodireito,23,42,133,101,106,187671
Brazil,plonegovbr,26,73,85,109,118,30433
Brazil,pr-snas,8,22,7,28,45,96330
Brazil,PrefeituraParnaiba,3,0,1,0,3,263
Brazil,prefeiturasp,12,68,22,11,29,78615
Brazil,PROCERGS,18,42,27,45,39,79246
Brazil,prodest,25,4,17,24,33,58455
Brazil,secom-tocantins,3,4,2,0,4,197
Brazil,secultce,1,0,1,0,0,746
Brazil,SerraWeb,2,3,0,0,2,1060
Brazil,tisorocaba,5,1,1,0,6,41821
Brazil,tre-pa,1,0,3,0,1,203
Brazil,wpgovbr,2,2,0,0,2,18088
Canada,AAFC-MBB,39,10,21,26,56,2264026
Canada,abgov,3,5,4,5,5,4751
Canada,bcdevexchange,19,61,41,68,81,75099
Canada,BCGov,50,132,72,185,427,357408
Canada,ca-canada,3,7,1,1,3,292
Canada,CIHR,0,0,0,0,0,0
Canada,cityofgreatersudbury,2,1,0,0,2,188
Canada,cityofottawa,26,9,3,22,42,83929
Canada,cityofsurrey,23,3,4,42,34,93822
Canada,cngo,4,0,0,0,4,64
Canada,ECCC-MSC,1,3,1,0,1,14
Canada,electionsquebec,1,9,0,0,1,204
Canada,GeoCanViz,2,4,14,2,7,43534
Canada,GNWT,1,3,0,0,1,2392
Canada,goc,0,0,0,0,0,0
Canada,HIFIS,0,0,0,0,0,0
Canada,infra-geo-ouverte,5,36,20,18,17,70425
Canada,MC-MBO-WebPublishingTeam,4,0,4,2,5,612
Canada,nrc-cnrc,5,17,23,49,10,205751
Canada,NRCan,1,1,0,0,1,0
Canada,nsgov,9,9,7,22,14,10117
Canada,open-data,30,34,73,42,54,444995
Canada,phac-nml,10,21,4,0,47,243235
Canada,pwgsc,1,2,0,0,0,92
Canada,RAMP-PCAR,14,5,4,9,58,1427011
Canada,RDOQ,2,0,0,0,3,132
Canada,ServiceCanada,7,0,0,0,8,33182
Canada,TBS-EACPD,2,0,0,0,3,374
Canada,thecityofcalgary,1,0,1,0,1,128
Canada,VilledeMontreal,9,3,5,0,13,18573
Canada,wet-boew,64,1182,901,658,554,1179322
Italy,ComuneBologna,2,13,0,0,2,17676
Italy,Formez,1,3,0,0,2,144
Italy,PloneGov-IT,45,7,11,5,107,10840
Italy,RegioneER,3,7,4,3,5,7631
Panama,IFARHU,2,3,1,1,4,744
Panama,miambiente,0,0,0,0,0,0
Lithuania,viesujupirkimutarnyba,4,0,1,0,5,181735
Lithuania,vilnius,35,88,54,36,76,560920
The Netherlands,dataoverheid,3,3,2,0,2,15675
The Netherlands,GemeenteEde,1,0,0,0,1,236
The Netherlands,gemeentemuseum,1,1,0,1,3,11967
The Netherlands,Geonovum,38,26,52,216,107,314284
The Netherlands,IenS-Velsen,5,1,0,0,2,27192
The Netherlands,MinELenI,5,3,6,2,11,124302
The Netherlands,Pleio,65,18,14,17,93,212665
The Netherlands,provinciegroningen,5,0,0,1,7,9071
The Netherlands,provincieNH,3,0,2,0,6,58666
The Netherlands,rijksoverheid,1,0,1,0,1,138
The Netherlands,StichtingHergebruikOverheid,0,0,0,0,0,0
The Netherlands,TweedeKamer,4,1,1,0,4,682
The Netherlands,zaanstad,5,2,3,2,9,22375
France,afimb,22,53,19,10,67,112857
France,ANSSI-FR,16,594,74,42,36,40430
France,ApieFrance,1,0,0,0,1,156
France,communaute-cimi,25,17,9,0,26,150764
France,DGFiP,1,3,2,8,2,67022
France,diplomatiegouvfr,11,6,0,0,11,9568
France,disic,20,125,43,50,38,87775
France,erasme,36,39,17,3,37,51735
France,etalab,45,138,69,121,76,760709
France,nanterre,2,0,0,0,2,385
France,polewebmaedi,2,0,0,0,2,392
France,sgmap,71,207,82,316,206,189098
France,sgmap-agd,13,40,15,16,31,141617
Peru,imarpe,8,3,0,4,32,162085
International,IATI,25,74,60,457,109,38862
International,ogpl,2,2,8,0,5,4509
Argentina,argob,4,33,10,6,11,28609
Argentina,cifasis,12,245,55,24,27,50097
Argentina,conectados-ar,1,0,0,0,0,116
Argentina,gcba,71,103,52,48,129,1770172
Argentina,inti-cmnb,2,2,4,0,15,20313
Argentina,municipioriogrande,1,2,3,0,4,59411
Bolivia,adsib,4,0,2,2,125,6643
Bolivia,geobolivia,8,4,16,0,14,7847
Norway,altinn,4,2,1,0,3,19375
Norway,difi,59,134,138,223,189,425336
Norway,dss-web,4,5,4,0,7,123998
Norway,kartverket,16,72,33,14,36,100886
Norway,KRD-KOMM-VL,3,2,1,0,6,15059
Norway,metno,114,94,49,69,241,1199772
Norway,navikt,14,2,3,0,18,20973
Norway,nlbdev,11,2,4,94,15,498626
Norway,rutebanken,4,1,0,0,9,1079
Norway,ruterno,0,0,0,0,0,0
Norway,vegvesen,1,0,0,0,2,112
New Zealand,CanterburyRegionalCouncil,19,3,0,20,29,366772
New Zealand,DigitalNZ,12,13,19,2,68,13421
