country,orgname,repname,watchers_count,forks,open_issues,size,52weeksactivity
Brazil,camaradosdeputadosoficial,camaradosdeputadosoficial.github.io,0,0,0,732,1
Brazil,camaradosdeputadosoficial,edemocracia,6,3,0,8905,0
Brazil,camaradosdeputadosoficial,lexml-parser-documento-articulado,0,1,0,448,0
Brazil,camaradosdeputadosoficial,lexml-recognizer-alteracao-legislacao,0,1,0,328,0
Brazil,cislgov,cisl.portal.buildout,0,0,0,140,0
Brazil,cislgov,cisl.portal.casosdesucesso,0,0,0,128,0
Brazil,cislgov,cisl.portal.plone25,0,0,0,924,0
Brazil,cislgov,cisl.portal.policy,0,0,0,164,0
Brazil,culturagovbr,api-vale-cultura,1,0,0,23,0
Brazil,culturagovbr,CEUs,0,1,1,35208,0
Brazil,culturagovbr,ctav2-theme,0,0,0,1088,0
Brazil,culturagovbr,docker-GOG,1,3,0,12001,32
Brazil,culturagovbr,e-pracas,1,1,8,60,0
Brazil,culturagovbr,eleicao-cnpc-2012,1,0,2,6612,0
Brazil,culturagovbr,emergencias-json,0,0,0,7,0
Brazil,culturagovbr,GOG,3,9,21,73130,87
Brazil,culturagovbr,hotsite-salic,0,0,0,71835,0
Brazil,culturagovbr,ibercultura,0,0,0,3004,0
Brazil,culturagovbr,mapasculturais-baseminc,0,1,2,51,0
Brazil,culturagovbr,mapasculturais-bibliotecas,0,2,0,1032,50
Brazil,culturagovbr,mapasculturais-br,3,4,7,461,74
Brazil,culturagovbr,mapasculturais-culturaviva,5,9,24,4903,358
Brazil,culturagovbr,mapasculturais-museus,3,1,2,769,97
Brazil,culturagovbr,mapasculturais-pracas,0,0,0,1012,0
Brazil,culturagovbr,mapasculturais-sas-wp,0,0,0,7800,0
Brazil,culturagovbr,mgp_ti,0,0,0,2397,0
Brazil,culturagovbr,normativos,0,0,0,23938,0
Brazil,culturagovbr,novosalic,8,11,7,48719,2
Brazil,culturagovbr,pdti-minc,0,0,0,6789,0
Brazil,culturagovbr,Portal-AtendeTI,0,0,0,26644,0
Brazil,dadosgovbr,api-siconv,2,2,0,6061,3
